split,error_type,n_errors,proportion_of_errors,false_negative_count,false_positive_count,mean_pred_prob,mean_abs_error
test_reporting_only,morphology_positive_false_negative,12,0.46153846153846156,12,0,0.3606930250922839,0.6393069749077162
test_reporting_only,long_report_or_multivisit_uncertainty,5,0.19230769230769232,0,5,0.6179185509681702,0.6179185509681702
test_reporting_only,other_error,4,0.15384615384615385,0,4,0.6954199522733688,0.6954199522733688
test_reporting_only,borderline_error,3,0.11538461538461539,0,3,0.5252368052800497,0.5252368052800497
test_reporting_only,morphology_low_confidence_false_positive,2,0.07692307692307693,0,2,0.5786173343658447,0.5786173343658447
val,morphology_positive_false_negative,18,0.6,18,0,0.3613646899660428,0.6386353100339571
val,borderline_error,5,0.16666666666666666,2,3,0.5115421950817108,0.5333932220935822
val,long_report_or_multivisit_uncertainty,3,0.1,0,3,0.5670483708381653,0.5670483708381653
val,other_error,3,0.1,0,3,0.6891323328018188,0.6891323328018188
val,morphology_low_confidence_false_positive,1,0.03333333333333333,0,1,0.7055191397666931,0.7055191397666931
