summary_level,seed,cross_seed_group,n_patients,n_rows,mean_full_prob,mean_remove_diffuse_prob,mean_remove_negative_prob,mean_prefix_only_prob,mean_remove_prefix_prob,mean_delta_remove_diffuse,mean_delta_remove_negative,mean_delta_prefix_only,mean_delta_remove_prefix
pooled,pooled,all_seed_fn,7,21,0.26743221043476034,0.19993973718512625,0.19186122573557354,0.26882881813106085,0.14523794271406673,-0.0674924732496341,-0.07557098469918683,0.001396607696300461,-0.12219426772069364
pooled,pooled,all_seed_tp,24,72,0.7656548346082369,0.3515362173008422,0.42262407552657855,0.5684823041988744,0.3087413717682163,-0.41411861730739474,-0.34303075908165837,-0.19717253040936258,-0.45691346284002066
pooled,pooled,majority_fn,12,36,0.46787189319729805,0.1924196580528385,0.3472552744464742,0.4072890169918537,0.17207024251628253,-0.27545223514445955,-0.12061661875082387,-0.060582876205444336,-0.2958016506810155
pooled,pooled,seed_sensitive_positive,4,12,0.604031910498937,0.2227762844413519,0.4372448803236087,0.4281052239239216,0.2923448582490285,-0.38125562605758506,-0.16678703017532825,-0.1759266865750154,-0.31168705224990845
per_seed,0,all_seed_fn,7,7,0.22319950110145978,0.1626938453742436,0.15201031948838914,0.19709752074309758,0.12415776827505656,-0.060505655727216175,-0.07118918161307063,-0.026101980358362198,-0.0990417328264032
per_seed,0,all_seed_tp,24,24,0.6822776049375534,0.32781543644766015,0.3595221738020579,0.4580198551217715,0.2652892346183459,-0.35446216848989326,-0.3227554311354955,-0.22425774981578192,-0.4169883703192075
per_seed,0,majority_fn,12,12,0.3855578961471717,0.185286572513481,0.2789436212430398,0.3065936366717021,0.16600524447858334,-0.20027132363369068,-0.10661427490413189,-0.07896425947546959,-0.2195526516685883
per_seed,0,seed_sensitive_positive,4,4,0.44558684527873993,0.2040068618953228,0.344941433519125,0.30823905393481255,0.20613063126802444,-0.24157998338341713,-0.10064541175961494,-0.13734779134392738,-0.23945621401071548
per_seed,42,all_seed_fn,7,7,0.32661105692386627,0.28583295324019026,0.2862264811992645,0.3260904997587204,0.2050700288798128,-0.040778103683676035,-0.040384575724601746,-0.000520557165145874,-0.12154102804405349
per_seed,42,all_seed_tp,24,24,0.8674930135409037,0.4877951331436634,0.5823767359058062,0.7239874949057897,0.41398520131284994,-0.37969788039724034,-0.2851162776350975,-0.14350551863511404,-0.4535078122280538
per_seed,42,majority_fn,12,12,0.5953949963053068,0.27357414752865833,0.5096445108453432,0.5336612487832705,0.21701802499592304,-0.32182084877664846,-0.08575048545996349,-0.06173374752203623,-0.3783769713093837
per_seed,42,seed_sensitive_positive,4,4,0.7848471254110336,0.3192858472466469,0.6088193282485008,0.6014947444200516,0.4606641158461571,-0.46556127816438675,-0.1760277971625328,-0.18335238099098206,-0.32418300956487656
per_seed,3407,all_seed_fn,7,7,0.25248607327895506,0.15129241294094495,0.13734687651906693,0.2832984338913645,0.10648603098733085,-0.10119366033801011,-0.11513919675988811,0.030812360612409457,-0.1460000422916242
per_seed,3407,all_seed_tp,24,24,0.7471938853462537,0.2389980823112031,0.32597331687187153,0.5234395625690619,0.24694967937345305,-0.5081958030350506,-0.42122056847438216,-0.2237543227771918,-0.5002442059728006
per_seed,3407,majority_fn,12,12,0.42266278713941574,0.11839825411637624,0.2531776912510395,0.3816121655205886,0.1331874580743412,-0.3042645330230395,-0.16948509588837624,-0.041050621618827186,-0.2894753290650745
per_seed,3407,seed_sensitive_positive,4,4,0.5816617608070374,0.145036144182086,0.35797387920320034,0.37458187341690063,0.21023982763290405,-0.43662561662495136,-0.223687881603837,-0.20707988739013672,-0.3714219331741333
