seed,scope,row_count,raw_latest_weight_count_spearman,latest_weight_excess_count_spearman,latest_weight_log_ratio_count_spearman
0,patient_mean_multi_visit,62,-0.8007323379533403,0.2217034013816157,0.13958112311887919
0,M1_multi_visit,62,-0.8041563287082688,0.2035669503516042,0.09908173247074138
0,M2_multi_visit,62,-0.9731000545353355,0.18991604838586768,0.17154396721468135
0,M3_multi_visit,62,-0.9413834581831347,-0.007382980065314423,-0.014177461719625521
0,M4_multi_visit,62,-0.3860063179871077,0.11754066259427245,0.13738935891765663
0,M5_multi_visit,62,-0.35138705122452996,0.26311228957403143,0.13599663279731353
42,patient_mean_multi_visit,62,-0.9150080293990767,0.4465632942404311,0.19714696768611337
42,M1_multi_visit,62,-0.7193590576682445,0.24583183623275198,0.12107017310004738
42,M2_multi_visit,62,-0.9492430509230075,0.1946158831040781,0.17154396721468135
42,M3_multi_visit,62,-0.9413834581831347,-0.02070444409620784,0.025465931239780182
42,M4_multi_visit,62,-0.7488469068420717,0.37803473914024993,0.30827004909795075
42,M5_multi_visit,62,-0.7535989652175287,0.35176155021335026,0.31013866259875156
3407,patient_mean_multi_visit,62,-0.9096045439889551,0.26985327137279674,0.30692867126600615
3407,M1_multi_visit,62,-0.6089888556773484,0.09576474142690447,0.09308974864961664
3407,M2_multi_visit,62,-0.9690593091439204,-0.2235269875827666,-0.2216043279253169
3407,M3_multi_visit,62,-0.9413834581831347,-0.018831949152106352,0.03530990466019941
3407,M4_multi_visit,62,-0.6940088644391907,0.32228718774141885,0.3791582502528943
3407,M5_multi_visit,62,-0.7162560660465905,0.2455643369550232,0.41087889059141136
