representation_seed,classifier_seed,object_name,diagonal,max_abs_diagonal_logit_error,AUC,Sensitivity,Specificity,Balanced_ACC,TP,FN,TN,FP,positive_probability_mean,negative_probability_mean,pairwise_inversion_count,material_positive_damage_count,severe_positive_damage_count,c17_tp_to_object_fn,official_representation_seed_inversions,net_inversion_change
0,0,CLS_SWAP_r0_c0,True,9.5367431640625e-07,0.901765504753282,0.851063829787234,0.7446808510638298,0.7978723404255319,40,7,35,12,0.7288978856021398,0.2719776978518619,217,12,8,5,217,0
0,42,CLS_SWAP_r0_c42,False,,0.8415572657311,0.3829787234042553,0.9574468085106383,0.6702127659574468,18,29,45,2,0.48455960256591407,0.3582868863349625,350,31,30,20,217,133
0,3407,CLS_SWAP_r0_c3407,False,,0.7655047532820282,0.8936170212765957,0.5957446808510638,0.7446808510638298,42,5,28,19,0.5798500963951032,0.46280090120557377,518,27,20,3,217,301
42,0,CLS_SWAP_r42_c0,False,,0.3920325939339067,0.9148936170212766,0.06382978723404255,0.48936170212765956,43,4,3,44,0.6598772622098174,0.6834805071602611,1343,27,23,4,284,1059
42,42,CLS_SWAP_r42_c42,True,9.5367431640625e-07,0.8714350384789498,0.723404255319149,0.851063829787234,0.7872340425531915,34,13,40,7,0.6565118004729767,0.25456014215675365,284,21,19,8,284,0
42,3407,CLS_SWAP_r42_c3407,False,,0.7170665459483929,0.10638297872340426,0.9361702127659575,0.5212765957446809,5,42,44,3,0.4437299694668041,0.3850365150371364,625,41,38,36,284,341
3407,0,CLS_SWAP_r3407_c0,False,,0.6727025803531009,1.0,0.02127659574468085,0.5106382978723404,47,0,1,46,0.7282175554754707,0.6838862919205736,723,13,9,0,279,444
3407,42,CLS_SWAP_r3407_c42,False,,0.45993662290629245,1.0,0.0,0.5,47,0,0,47,0.7479105739519287,0.7531626744833191,1193,14,11,0,279,914
3407,3407,CLS_SWAP_r3407_c3407,True,4.76837158203125e-07,0.8736985061113627,0.8085106382978723,0.8085106382978723,0.8085106382978723,38,9,38,9,0.6831299889912182,0.25553047696426334,279,9,8,4,279,0
