seed,diagnostic_type,diagnostic_name,head_seed,official_material_damage_count,official_severe_damage_count,probability_rescue_count,threshold_rescue_count,unresolved_material_damage_count
0,probe,P1_patient_state,,12,8,6,3,6
0,probe,P2_pre_projection,,12,8,4,2,8
0,probe,P3_temporal_mechanisms,,12,8,5,2,7
0,classifier_swap,CLS_SWAP_r0_c0,0.0,12,8,0,0,12
0,head_swap,HEAD_SWAP_r0_c0,0.0,12,8,0,0,12
0,classifier_swap,CLS_SWAP_r0_c42,42.0,12,8,3,0,9
0,head_swap,HEAD_SWAP_r0_c42,42.0,12,8,11,5,1
0,classifier_swap,CLS_SWAP_r0_c3407,3407.0,12,8,6,4,6
0,head_swap,HEAD_SWAP_r0_c3407,3407.0,12,8,0,0,12
42,probe,P1_patient_state,,21,19,5,3,16
42,probe,P2_pre_projection,,21,19,13,3,8
42,probe,P3_temporal_mechanisms,,21,19,12,4,9
42,classifier_swap,CLS_SWAP_r42_c0,0.0,21,19,15,10,6
42,head_swap,HEAD_SWAP_r42_c0,0.0,21,19,1,1,20
42,classifier_swap,CLS_SWAP_r42_c42,42.0,21,19,0,0,21
42,head_swap,HEAD_SWAP_r42_c42,42.0,21,19,0,0,21
42,classifier_swap,CLS_SWAP_r42_c3407,3407.0,21,19,6,2,15
42,head_swap,HEAD_SWAP_r42_c3407,3407.0,21,19,8,2,13
3407,probe,P1_patient_state,,9,8,3,1,6
3407,probe,P2_pre_projection,,9,8,3,2,6
3407,probe,P3_temporal_mechanisms,,9,8,3,2,6
3407,classifier_swap,CLS_SWAP_r3407_c0,0.0,9,8,5,5,4
3407,head_swap,HEAD_SWAP_r3407_c0,0.0,9,8,4,3,5
3407,classifier_swap,CLS_SWAP_r3407_c42,42.0,9,8,5,5,4
3407,head_swap,HEAD_SWAP_r3407_c42,42.0,9,8,5,0,4
3407,classifier_swap,CLS_SWAP_r3407_c3407,3407.0,9,8,0,0,9
3407,head_swap,HEAD_SWAP_r3407_c3407,3407.0,9,8,0,0,9
