seed,probe,input_stage,feature_dimension,train_AUC,validation_AUC,train_validation_AUC_gap,coefficient_norm,authorization_candidate,Sensitivity,Specificity,Balanced_ACC,TP,FN,TN,FP,positive_probability_mean,negative_probability_mean,pairwise_inversion_count,material_positive_damage_count,severe_positive_damage_count,c17_tp_to_object_fn,validation_AUC_change_vs_official,sensitivity_change_vs_official,inversion_change_vs_official,material_damage_change_vs_official,minor_variation,variation_classification
0,P0_official_C27,official frozen C27 probability,0,0.8887429498570656,0.901765504753282,,,False,0.851063829787234,0.7446808510638298,0.7978723404255319,40,7,35,12,0.7288978841710598,0.2719776951212515,217,12,8,5,0.0,0.0,0,0,True,minor variation
0,P1_patient_state,P1_patient_state,256,0.979525612300085,0.8641919420552286,0.1153336702448563,6.07185115071902,True,0.7659574468085106,0.8297872340425532,0.7978723404255319,36,11,39,8,0.7286063812942939,0.2441351589703071,300,12,10,7,-0.03757356269805334,-0.08510638297872342,83,0,False,material or directional diagnostic change
0,P2_pre_projection,P2_pre_projection,1541,0.9862142801955828,0.8261656858306926,0.1600485943648902,8.006256539236109,True,0.6808510638297872,0.723404255319149,0.7021276595744681,32,15,34,13,0.6856261082314602,0.2722674676269858,384,16,14,8,-0.07559981892258938,-0.17021276595744683,167,4,False,material or directional diagnostic change
0,P3_temporal_mechanisms,P3_temporal_mechanisms,1280,0.9846911181995784,0.8066998641919422,0.1779912540076361,7.985311720667427,True,0.6808510638297872,0.723404255319149,0.7021276595744681,32,15,34,13,0.6724980384897462,0.2906955022555733,427,16,14,8,-0.09506564056133981,-0.17021276595744683,210,4,False,material or directional diagnostic change
0,P4_conflicts_negative_control,P4_conflicts_negative_control,5,0.5708932572488162,0.6745133544590312,-0.1036200972102149,0.566499904279838,False,0.574468085106383,0.7446808510638298,0.6595744680851063,27,20,35,12,0.5271459695522831,0.482575247165008,591,30,25,15,-0.22725215029425083,-0.276595744680851,374,18,False,material or directional diagnostic change
0,P5_C17_mechanism_reference,P5_C17_mechanism_reference,256,0.9245703689804748,0.7944771389769125,0.1300932300035623,6.09261277481939,False,0.723404255319149,0.7659574468085106,0.7446808510638299,34,13,36,11,0.636816526362747,0.2842759712134921,454,20,14,7,-0.10728836577636947,-0.12765957446808507,237,8,False,material or directional diagnostic change
42,P0_official_C27,official frozen C27 probability,0,0.883334621030673,0.8714350384789498,,,False,0.723404255319149,0.851063829787234,0.7872340425531915,34,13,40,7,0.6565118013544285,0.2545601394067102,284,21,19,8,0.0,0.0,0,0,True,minor variation
42,P1_patient_state,P1_patient_state,256,0.9722629993046434,0.7962879130828429,0.1759750862218005,6.5089425984769065,True,0.6595744680851063,0.7872340425531915,0.7234042553191489,31,16,37,10,0.6652078197165981,0.2760710395903304,450,20,20,13,-0.0751471253961069,-0.06382978723404265,166,-1,False,material or directional diagnostic change
42,P2_pre_projection,P2_pre_projection,1541,0.9815896071787288,0.8085106382978724,0.1730789688808562,7.847808676594725,True,0.723404255319149,0.8297872340425532,0.7765957446808511,34,13,39,8,0.711448078843553,0.2349226702039163,423,16,13,9,-0.06292440018107737,0.0,139,-5,False,material or directional diagnostic change
42,P3_temporal_mechanisms,P3_temporal_mechanisms,1280,0.9801216322115648,0.783612494341331,0.1965091378702339,7.826822472870193,True,0.7446808510638298,0.7872340425531915,0.7659574468085106,35,12,37,10,0.6994284332985767,0.2737040255922176,478,17,15,8,-0.08782254413761881,0.02127659574468077,194,-4,False,material or directional diagnostic change
42,P4_conflicts_negative_control,P4_conflicts_negative_control,5,0.5878356751029237,0.6935264825712992,-0.1056908074683755,0.4523848583354644,False,0.5319148936170213,0.8085106382978723,0.6702127659574468,25,22,38,9,0.5426673238599337,0.4713677875285633,549,34,32,18,-0.17790855590765053,-0.19148936170212771,265,13,False,material or directional diagnostic change
42,P5_C17_mechanism_reference,P5_C17_mechanism_reference,256,0.9160053421043918,0.7967406066093254,0.1192647354950663,6.837083168844394,False,0.7446808510638298,0.7659574468085106,0.7553191489361701,35,12,36,11,0.624911994592849,0.2981328433867454,449,23,18,9,-0.07469443186962432,0.02127659574468077,165,2,False,material or directional diagnostic change
3407,P0_official_C27,official frozen C27 probability,0,0.8528161940817429,0.8736985061113627,,,False,0.8085106382978723,0.8085106382978723,0.8085106382978723,38,9,38,9,0.6831299917812043,0.2555304742517306,279,9,8,4,0.0,0.0,0,0,True,minor variation
3407,P1_patient_state,P1_patient_state,256,0.9552322822043908,0.8121321865097328,0.1431000956946578,6.281546502224176,True,0.6595744680851063,0.7872340425531915,0.7234042553191489,31,16,37,10,0.6335796183284542,0.2355193775713765,415,20,19,9,-0.06156631960162984,-0.14893617021276595,136,11,False,material or directional diagnostic change
3407,P2_pre_projection,P2_pre_projection,1541,0.975872230990828,0.7962879130828429,0.1795843179079851,7.944764228690489,True,0.8085106382978723,0.7659574468085106,0.7872340425531914,38,9,36,11,0.687067613100233,0.2706555550518255,450,16,15,3,-0.07741059302851983,0.0,171,7,False,material or directional diagnostic change
3407,P3_temporal_mechanisms,P3_temporal_mechanisms,1280,0.9753865851370294,0.7958352195563604,0.1795513655806689,7.919410317785871,True,0.8085106382978723,0.7659574468085106,0.7872340425531914,38,9,36,11,0.685676707338612,0.2779905754546689,451,16,15,3,-0.0778632865550023,0.0,172,7,False,material or directional diagnostic change
3407,P4_conflicts_negative_control,P4_conflicts_negative_control,5,0.6008487765035705,0.7089180624717066,-0.1080692859681361,0.6726705734304625,False,0.4893617021276595,0.851063829787234,0.6702127659574468,23,24,40,7,0.5358826115960535,0.4667725951695712,515,27,25,17,-0.16478044363965605,-0.3191489361702128,236,18,False,material or directional diagnostic change
3407,P5_C17_mechanism_reference,P5_C17_mechanism_reference,256,0.9149899007737222,0.7397012222725214,0.1752886785012007,7.304089023942575,False,0.574468085106383,0.7659574468085106,0.6702127659574468,27,20,36,11,0.5816372099367771,0.3320553257992734,575,23,20,14,-0.13399728383884124,-0.23404255319148926,296,14,False,material or directional diagnostic change
