seed,combination,total_pairs,inversion_count,inversion_change_vs_000,inversion_change_vs_111,000_to_combination_repaired,000_to_combination_introduced,combination_to_111_repaired,combination_to_111_introduced,minor_ranking_variation_vs_000
0,000,2209,217,0,-10,0,0,4,14,True
0,100,2209,220,3,-7,0,3,4,11,True
0,010,2209,222,5,-5,2,7,2,7,False
0,001,2209,222,5,-5,3,8,1,6,False
0,110,2209,223,6,-4,2,8,2,6,False
0,101,2209,222,5,-5,3,8,1,6,False
0,011,2209,226,9,-1,4,13,0,1,False
0,111,2209,227,10,0,4,14,0,0,False
42,000,2209,284,0,-12,0,0,5,17,True
42,100,2209,285,1,-11,0,1,5,16,True
42,010,2209,286,2,-10,3,5,4,14,True
42,001,2209,289,5,-7,3,8,2,9,False
42,110,2209,289,5,-7,2,7,4,11,False
42,101,2209,289,5,-7,3,8,2,9,False
42,011,2209,295,11,-1,5,16,0,1,False
42,111,2209,296,12,0,5,17,0,0,False
3407,000,2209,279,0,-4,0,0,4,8,True
3407,100,2209,278,-1,-5,1,0,3,8,True
3407,010,2209,278,-1,-5,3,2,2,7,True
3407,001,2209,280,1,-3,2,3,2,5,True
3407,110,2209,278,-1,-5,3,2,2,7,True
3407,101,2209,281,2,-2,2,4,2,4,True
3407,011,2209,283,4,0,4,8,0,0,False
3407,111,2209,283,4,0,4,8,0,0,False
